match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
5398299113,4525359831,false,1588684225,1421,1924,1,7,22,53,5,187,"6,126,30,113,29","26,98,82,93,87"
5398299012,4525361034,true,1588684220,1376,3659,2,7,22,49,3,153,"6,25,47,84,100","44,49,121,99,45"
5398299002,4525361639,false,1588684226,1510,3591,2,7,22,60,10,227,"35,86,99,61,40","93,84,71,17,21"
5398298610,4525357272,false,1588684210,1311,3710,2,7,22,56,4,152,"1,17,60,87,29","73,9,94,102,68"
5398298003,4525362735,true,1588684195,1583,3672,3,7,3,59,7,191,"11,93,31,104,84","87,54,78,17,5"
5398297704,4525363097,false,1588684184,1566,3353,5,7,3,51,8,236,"126,110,25,55,32","15,73,87,113,48"
5398297116,4525361313,true,1588684165,1556,2910,2,7,22,46,8,225,"106,120,3,85,59","109,94,40,25,29"
5398297115,4525364151,true,1588684169,1623,4613,3,7,3,68,8,227,"108,21,41,46,64","25,128,120,114,8"
5398296606,4525357802,false,1588684150,1329,3759,7,7,22,67,10,185,"44,17,51,121,129","20,6,114,38,112"
5398296507,4525357530,false,1588684145,1408,3745,5,7,22,60,8,236,"5,101,106,44,129","25,42,16,11,32"
5398296407,4525364916,true,1588684125,1601,3375,2,7,22,49,6,132,"112,1,44,23,83","8,14,56,35,82"
5398296303,4525361031,true,1588684145,1514,3837,2,7,22,49,3,154,"82,29,20,8,7","84,49,10,14,105"
5398296007,4525364173,true,1588684130,1699,3116,4,0,22,46,6,188,"91,73,29,46,42","11,41,10,9,126"
5398295906,4525360164,true,1588684125,1529,5498,7,7,22,79,8,172,"109,64,35,98,36","34,121,70,28,112"
5398295902,4525363704,false,1588684130,1697,1614,3,7,22,34,6,132,"75,72,47,80,32","53,94,14,110,35"
5398295901,4525353779,true,1588684129,1184,3368,2,7,22,47,4,155,"97,75,106,89,21","74,9,7,50,8"
5398295505,4525344933,false,1588684120,981,3536,4,0,3,50,7,236,"120,42,86,45,1","95,22,126,51,104"
5398295317,4525355980,true,1588684115,1401,4320,1,0,22,42,5,231,"42,30,23,85,44","62,86,108,67,6"
5398294809,4525358600,false,1588684098,1462,4584,1,0,4,57,2,241,"62,38,44,81,56","85,97,67,32,106"
5398294517,4525355919,true,1588684070,1375,3845,2,7,3,54,7,225,"29,59,72,31,20","30,126,84,42,12"
